policy_cls,problem,scene_id,instance_id,difficulty,success,time,steps,replans,explores
PolicyCPP,sorting_books_simple.pddl,Ihlen_0_int,0.0,simple,True,344.44112968444824,7,7,4
PolicyCPP,sorting_books_simple.pddl,Ihlen_0_int,20.0,simple,True,321.27312898635864,6,6,4
PolicyCPP,sorting_books_simple.pddl,Pomaria_1_int,0.0,simple,False,252.14083242416382,10,10,1
PolicyCPP,sorting_books_simple.pddl,Pomaria_1_int,20.0,simple,True,131.00569128990173,6,6,4
PolicyCPP,sorting_books_simple.pddl,Rs_int,0.0,simple,False,139.90498042106628,5,6,4
PolicyCPP,cleaning_out_drawers_simple.pddl,Benevolence_1_int,0.0,simple,False,193.73411965370178,10,10,2
PolicyCPP,cleaning_out_drawers_simple.pddl,Benevolence_1_int,20.0,simple,False,200.58858442306519,10,10,3
PolicyCPP,cleaning_out_drawers_simple.pddl,Benevolence_1_int,21.0,simple,False,268.8524742126465,10,10,8
PolicyCPP,cleaning_out_drawers_simple.pddl,Rs_int,0.0,simple,False,194.92688131332397,10,10,9
PolicyCPP,cleaning_out_drawers_simple.pddl,Rs_int,20.0,simple,False,198.00832843780518,10,10,9
PolicyCPP,locking_every_door_simple.pddl,Merom_1_int,0.0,simple,False,46.48679161071777,10,7,2
PolicyCPP,locking_every_door_simple.pddl,Merom_1_int,20.0,simple,False,35.24899125099182,4,5,5
PolicyCPP,locking_every_door_simple.pddl,Pomaria_0_int,0.0,simple,True,36.42784357070923,4,4,4
PolicyCPP,locking_every_door_simple.pddl,Pomaria_0_int,20.0,simple,True,34.14418625831604,4,4,4
DefaultVILAPolicy,sorting_books_simple.pddl,Ihlen_0_int,0.0,simple,False,35.760998249053955,4,0,0
DefaultVILAPolicy,sorting_books_simple.pddl,Ihlen_0_int,20.0,simple,True,77.62923288345337,10,0,0
DefaultVILAPolicy,sorting_books_simple.pddl,Pomaria_1_int,0.0,simple,False,62.91295266151428,6,0,0
DefaultVILAPolicy,sorting_books_simple.pddl,Pomaria_1_int,20.0,simple,False,51.68480730056763,10,0,0
DefaultVILAPolicy,sorting_books_simple.pddl,Rs_int,0.0,simple,True,53.98189067840576,4,0,0
DefaultVILAPolicy,cleaning_out_drawers_simple.pddl,Benevolence_1_int,0.0,simple,False,214.9756143093109,10,0,0
DefaultVILAPolicy,cleaning_out_drawers_simple.pddl,Benevolence_1_int,20.0,simple,False,222.33919858932495,10,0,0
DefaultVILAPolicy,cleaning_out_drawers_simple.pddl,Benevolence_1_int,21.0,simple,False,137.53256225585938,10,0,0
DefaultVILAPolicy,cleaning_out_drawers_simple.pddl,Rs_int,0.0,simple,False,97.53405714035034,9,0,0
DefaultVILAPolicy,cleaning_out_drawers_simple.pddl,Rs_int,20.0,simple,False,164.3780529499054,10,0,0
DefaultVILAPolicy,locking_every_door_simple.pddl,Merom_1_int,0.0,simple,False,20.221461057662964,4,0,0
DefaultVILAPolicy,locking_every_door_simple.pddl,Merom_1_int,20.0,simple,False,24.368579149246216,4,0,0
DefaultVILAPolicy,locking_every_door_simple.pddl,Pomaria_0_int,0.0,simple,True,16.93163299560547,4,0,0
DefaultVILAPolicy,locking_every_door_simple.pddl,Pomaria_0_int,20.0,simple,True,18.107250213623047,4,0,0
DefaultVILAPolicy,locking_every_door_simple.pddl,Wainscott_1_int,0.0,simple,True,35.512600898742676,4,0,0
DefaultVILAPolicy,locking_every_window_simple.pddl,Merom_1_int,0.0,simple,False,63.00955247879028,6,0,0
DefaultVILAPolicy,locking_every_window_simple.pddl,Merom_1_int,20.0,simple,True,58.11947298049927,6,0,0
DefaultVILAPolicy,locking_every_window_simple.pddl,Rs_int,0.0,simple,True,59.13294959068298,7,0,0
DefaultVILAPolicy,locking_every_window_simple.pddl,Rs_int,20.0,simple,True,62.947556257247925,7,0,0
DefaultVILAPolicy,locking_every_window_simple.pddl,Wainscott_0_int,0.0,simple,True,85.91688847541809,6,0,0
